,wiek,zawod,stan_cywilny,wyksztalcenie,ma_kredyt,kredyt_mieszkaniowy,ma_pozyczke,sposob_kontaktu,miesiac,day_of_week,dl_polaczenia,liczba_polaczen_aktualnej_kampanii,liczba_dni_od_ost_kontaktu,liczba_polaczen_przed_aktualna_kampania,wynik_poprzedniej_kampanii,wsk_zmien_zatrudnienia,wsk_cen_konsum,wsk_zauf_konsum,euribor3m,liczba_pracownikow,target
30,46,admin.,married,unknown,1,1,1,telephone,may,mon,348,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
31,59,technician,married,unknown,1,0,1,telephone,may,mon,386,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
32,49,blue-collar,married,unknown,1,1,1,telephone,may,mon,73,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
34,54,blue-collar,divorced,basic.4y,1,1,1,telephone,may,mon,208,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
36,34,services,married,high.school,1,1,1,telephone,may,mon,365,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
37,52,technician,married,basic.9y,1,0,1,telephone,may,mon,1666,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
38,41,admin.,married,university.degree,1,0,1,telephone,may,mon,577,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
39,56,technician,married,basic.4y,1,0,1,telephone,may,mon,137,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
40,58,management,unknown,university.degree,1,0,1,telephone,may,mon,366,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
41,32,entrepreneur,married,high.school,1,0,1,telephone,may,mon,314,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
42,38,admin.,single,professional.course,1,1,1,telephone,may,mon,160,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
43,57,admin.,married,university.degree,1,1,0,telephone,may,mon,212,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
46,57,admin.,married,university.degree,1,0,0,telephone,may,mon,616,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
47,40,blue-collar,married,basic.9y,1,1,0,telephone,may,mon,178,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
48,35,admin.,married,university.degree,1,0,1,telephone,may,mon,355,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
49,45,blue-collar,married,basic.9y,1,0,1,telephone,may,mon,225,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
50,54,admin.,married,high.school,1,1,1,telephone,may,mon,160,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
51,39,housemaid,married,basic.4y,1,1,0,telephone,may,mon,266,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
52,60,admin.,married,high.school,1,1,1,telephone,may,mon,253,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
53,53,admin.,single,professional.course,1,1,1,telephone,may,mon,179,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
59,25,technician,single,university.degree,1,0,1,telephone,may,mon,174,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
61,51,blue-collar,married,basic.9y,1,0,1,telephone,may,mon,812,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
64,48,admin.,married,high.school,1,1,1,telephone,may,mon,357,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
65,37,admin.,married,university.degree,1,1,1,telephone,may,mon,232,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
66,44,blue-collar,single,basic.9y,1,0,1,telephone,may,mon,91,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
67,33,admin.,married,unknown,1,0,1,telephone,may,mon,273,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
68,56,admin.,married,basic.9y,1,0,1,telephone,may,mon,158,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
70,41,management,married,basic.6y,1,1,1,telephone,may,mon,200,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
71,44,management,divorced,university.degree,1,0,1,telephone,may,mon,172,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
76,55,technician,married,university.degree,1,1,1,telephone,may,mon,349,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
84,38,technician,single,university.degree,1,1,0,telephone,may,mon,20,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
85,31,admin.,divorced,high.school,1,1,1,telephone,may,mon,246,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
86,41,management,married,basic.6y,1,1,1,telephone,may,mon,529,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
87,39,admin.,married,university.degree,1,0,0,telephone,may,mon,192,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
88,49,technician,married,basic.9y,1,1,1,telephone,may,mon,1467,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1
89,34,admin.,married,high.school,1,0,1,telephone,may,mon,188,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
90,35,admin.,married,university.degree,1,0,1,telephone,may,mon,180,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
93,33,unemployed,married,basic.9y,1,1,1,telephone,may,mon,545,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
94,42,blue-collar,married,basic.6y,1,1,0,telephone,may,mon,583,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
95,45,services,married,professional.course,1,0,1,telephone,may,mon,221,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
96,42,management,married,university.degree,1,1,1,telephone,may,mon,426,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
98,37,technician,single,professional.course,1,1,1,telephone,may,mon,197,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
99,44,blue-collar,married,basic.6y,1,1,1,telephone,may,mon,257,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
100,54,services,married,unknown,1,0,1,telephone,may,mon,229,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
101,49,blue-collar,married,basic.4y,1,1,1,telephone,may,mon,55,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
102,54,services,married,unknown,1,1,1,telephone,may,mon,400,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
103,52,admin.,divorced,university.degree,1,1,1,telephone,may,mon,197,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
104,52,admin.,divorced,university.degree,1,1,1,telephone,may,mon,190,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
106,34,housemaid,married,basic.6y,1,0,1,telephone,may,mon,300,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
107,35,admin.,married,high.school,1,0,1,telephone,may,mon,123,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
112,35,services,divorced,high.school,1,0,1,telephone,may,mon,194,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
114,37,management,married,university.degree,1,1,1,telephone,may,mon,337,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
115,36,blue-collar,married,high.school,1,1,1,telephone,may,mon,286,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
116,52,admin.,divorced,university.degree,1,1,1,telephone,may,mon,247,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
118,56,admin.,married,unknown,1,0,1,telephone,may,mon,364,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
121,49,blue-collar,divorced,high.school,1,1,1,telephone,may,mon,439,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
122,41,services,married,high.school,1,1,1,telephone,may,mon,139,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
123,45,technician,married,high.school,1,0,1,telephone,may,mon,79,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
124,32,admin.,married,university.degree,1,0,0,telephone,may,mon,175,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
125,42,admin.,married,university.degree,1,1,0,telephone,may,mon,262,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
126,50,admin.,married,basic.6y,1,1,1,telephone,may,mon,61,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
127,31,technician,divorced,professional.course,1,0,0,telephone,may,mon,78,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
128,56,retired,married,basic.4y,1,0,1,telephone,may,mon,102,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
130,37,blue-collar,married,basic.6y,1,0,0,telephone,may,mon,143,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
132,35,blue-collar,married,unknown,1,0,1,telephone,may,mon,267,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
133,37,blue-collar,married,basic.6y,1,0,1,telephone,may,mon,345,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
134,52,management,married,university.degree,1,1,1,telephone,may,mon,185,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
135,39,management,divorced,university.degree,1,1,1,telephone,may,mon,207,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
138,34,services,married,high.school,1,0,1,telephone,may,mon,125,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
140,43,unemployed,single,university.degree,1,0,1,telephone,may,mon,240,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
141,56,management,married,unknown,1,0,1,telephone,may,mon,70,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
142,39,management,married,university.degree,1,0,1,telephone,may,mon,193,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
143,53,blue-collar,married,basic.4y,1,0,1,telephone,may,mon,136,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
147,35,admin.,single,high.school,1,0,1,telephone,may,mon,338,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
149,51,blue-collar,married,basic.4y,1,0,1,telephone,may,mon,87,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
154,40,blue-collar,married,unknown,1,0,0,telephone,may,mon,155,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
155,36,blue-collar,married,basic.9y,1,0,0,telephone,may,mon,98,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
158,43,technician,single,professional.course,1,0,1,telephone,may,mon,186,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
159,59,services,married,high.school,1,1,1,telephone,may,mon,579,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
160,24,management,single,university.degree,1,0,1,telephone,may,mon,165,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
165,37,entrepreneur,married,basic.6y,1,1,1,telephone,may,mon,85,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
166,38,services,married,high.school,1,0,0,telephone,may,mon,506,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
168,40,blue-collar,married,unknown,1,1,1,telephone,may,mon,114,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
169,54,management,divorced,university.degree,1,0,1,telephone,may,mon,843,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
172,45,technician,married,university.degree,1,0,0,telephone,may,mon,292,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
174,43,services,married,high.school,1,1,1,telephone,may,mon,93,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
175,46,management,married,basic.9y,1,1,1,telephone,may,mon,128,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
176,44,services,married,high.school,1,0,0,telephone,may,mon,107,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
177,51,admin.,single,basic.6y,1,1,1,telephone,may,mon,303,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
178,28,services,married,high.school,1,0,1,telephone,may,mon,81,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
179,37,blue-collar,married,basic.9y,1,1,1,telephone,may,mon,270,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
180,34,technician,married,high.school,1,1,1,telephone,may,mon,228,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
182,42,blue-collar,married,basic.9y,1,0,0,telephone,may,mon,673,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1
183,36,admin.,married,university.degree,1,0,1,telephone,may,mon,233,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
185,57,management,married,university.degree,1,1,1,telephone,may,mon,461,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
189,34,admin.,married,university.degree,1,0,1,telephone,may,mon,138,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
190,41,technician,married,professional.course,1,1,1,telephone,may,mon,412,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
191,38,blue-collar,single,basic.9y,1,0,1,telephone,may,mon,179,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
192,45,management,divorced,university.degree,1,1,1,telephone,may,mon,19,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
193,42,technician,married,university.degree,1,1,1,telephone,may,mon,228,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
195,48,blue-collar,married,basic.4y,1,0,1,telephone,may,mon,717,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
199,43,blue-collar,married,basic.6y,1,0,1,telephone,may,mon,1077,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
200,33,services,married,high.school,1,1,1,telephone,may,mon,146,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
201,32,services,single,basic.6y,1,1,1,telephone,may,mon,167,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
202,39,blue-collar,married,high.school,1,0,1,telephone,may,mon,356,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
203,43,admin.,married,unknown,1,1,1,telephone,may,mon,277,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
204,44,blue-collar,married,basic.9y,1,0,1,telephone,may,mon,172,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
207,35,unemployed,married,professional.course,1,1,1,telephone,may,mon,67,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
208,36,services,single,basic.4y,1,1,1,telephone,may,mon,291,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
210,36,student,single,basic.9y,1,0,1,telephone,may,mon,256,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
211,55,housemaid,divorced,university.degree,1,1,1,telephone,may,mon,286,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
212,59,admin.,married,university.degree,1,1,1,telephone,may,mon,477,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
216,30,blue-collar,single,unknown,1,0,1,telephone,may,mon,251,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
217,30,blue-collar,single,unknown,1,0,0,telephone,may,mon,408,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
219,40,services,married,high.school,1,1,1,telephone,may,mon,322,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
220,35,admin.,married,high.school,1,0,1,telephone,may,mon,216,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
224,40,technician,married,basic.9y,1,1,1,telephone,may,mon,168,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
225,58,retired,married,university.degree,1,1,1,telephone,may,mon,132,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
226,42,technician,married,university.degree,1,1,1,telephone,may,mon,64,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
227,35,admin.,single,university.degree,1,1,1,telephone,may,mon,209,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
229,45,blue-collar,married,basic.4y,1,0,0,telephone,may,mon,177,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
230,39,admin.,married,professional.course,1,0,1,telephone,may,mon,580,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
231,50,services,divorced,professional.course,1,0,1,telephone,may,mon,165,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
235,44,admin.,married,professional.course,1,0,1,telephone,may,mon,300,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
236,56,blue-collar,married,basic.4y,1,1,1,telephone,may,mon,136,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
237,48,admin.,married,high.school,1,1,1,telephone,may,mon,125,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
240,57,retired,married,high.school,1,1,1,telephone,may,mon,238,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
241,36,technician,single,professional.course,1,1,1,telephone,may,mon,124,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
242,34,management,married,university.degree,1,0,1,telephone,may,mon,18,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
243,34,services,single,basic.9y,1,1,1,telephone,may,mon,730,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
245,33,services,divorced,unknown,1,1,1,telephone,may,mon,181,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
246,32,technician,single,professional.course,1,1,1,telephone,may,mon,79,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
247,36,technician,single,high.school,1,0,1,telephone,may,mon,142,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
248,36,blue-collar,single,high.school,1,1,0,telephone,may,mon,389,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
249,33,services,single,high.school,1,1,1,telephone,may,mon,702,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
250,40,technician,divorced,professional.course,1,1,1,telephone,may,mon,151,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
251,41,blue-collar,married,basic.4y,1,0,1,telephone,may,mon,211,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
252,51,services,married,basic.6y,1,0,1,telephone,may,mon,117,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
253,36,technician,married,professional.course,1,0,1,telephone,may,mon,232,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
254,28,services,married,unknown,1,1,1,telephone,may,mon,408,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
255,53,services,married,high.school,1,0,0,telephone,may,mon,370,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
257,45,management,married,basic.9y,1,1,0,telephone,may,mon,46,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
258,43,technician,married,unknown,1,0,1,telephone,may,mon,200,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
259,33,admin.,married,high.school,1,1,0,telephone,may,mon,50,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
260,33,admin.,married,high.school,1,1,0,telephone,may,mon,181,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
262,42,technician,married,high.school,1,1,1,telephone,may,mon,361,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
263,43,admin.,divorced,basic.9y,1,1,1,telephone,may,mon,73,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
264,42,admin.,married,university.degree,1,1,1,telephone,may,mon,67,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
265,27,blue-collar,single,basic.6y,1,1,1,telephone,may,mon,350,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
266,34,self-employed,single,university.degree,1,0,1,telephone,may,mon,150,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
268,54,management,divorced,university.degree,1,1,1,telephone,may,mon,611,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
271,47,management,divorced,university.degree,1,1,1,telephone,may,mon,89,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
273,32,admin.,single,high.school,1,1,1,telephone,may,mon,611,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
276,34,services,married,high.school,1,1,1,telephone,may,mon,962,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
278,47,technician,single,basic.9y,1,1,1,telephone,may,mon,10,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
279,51,retired,married,professional.course,1,1,1,telephone,may,mon,118,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
280,47,blue-collar,married,basic.6y,1,1,1,telephone,may,mon,92,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
281,56,technician,married,basic.4y,1,0,1,telephone,may,mon,143,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
282,53,admin.,married,basic.9y,1,1,1,telephone,may,mon,189,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
283,36,blue-collar,married,basic.9y,1,0,1,telephone,may,mon,75,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
284,42,blue-collar,divorced,basic.9y,1,0,1,telephone,may,mon,189,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
285,44,blue-collar,divorced,basic.6y,1,1,1,telephone,may,mon,55,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
286,39,housemaid,married,basic.9y,1,0,1,telephone,may,mon,935,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1
287,37,admin.,single,high.school,1,0,0,telephone,may,mon,56,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
289,36,services,married,high.school,1,1,1,telephone,may,mon,225,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
290,42,management,divorced,university.degree,1,0,1,telephone,may,mon,125,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
291,31,admin.,married,high.school,1,0,0,telephone,may,mon,286,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
293,45,blue-collar,married,basic.4y,1,0,1,telephone,may,mon,164,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
294,37,technician,single,professional.course,1,0,1,telephone,may,mon,98,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
295,47,self-employed,married,professional.course,1,1,1,telephone,may,mon,446,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
296,49,blue-collar,divorced,high.school,1,1,0,telephone,may,mon,742,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
297,36,admin.,married,university.degree,1,0,1,telephone,may,mon,120,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
298,35,services,divorced,high.school,1,1,1,telephone,may,mon,122,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
303,43,unknown,married,unknown,1,0,1,telephone,may,mon,267,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
304,42,admin.,married,high.school,1,0,1,telephone,may,mon,248,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
307,57,housemaid,divorced,basic.4y,1,0,0,telephone,may,mon,205,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
308,42,admin.,married,university.degree,1,0,1,telephone,may,mon,261,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
309,41,blue-collar,married,basic.4y,1,0,1,telephone,may,mon,83,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
310,54,management,divorced,university.degree,1,0,1,telephone,may,mon,106,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
311,27,admin.,single,university.degree,1,1,1,telephone,may,mon,106,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
